prompt,x,y,label
What is 2 minus 15?,2,15,subtract
What do you get when you add 44 to 3?,44,3,add
A car travels 82 kilometers every hour. How far does it go in 36 hours?,82,36,multiply
Calculate 44 multiplied by 98.,44,98,multiply
What is 38 minus 28?,38,28,subtract
"If you have 69 apples and get 34 more, how many apples do you have in total?",69,34,add
1 kids each brought 98 books. How many books are there in all?,1,98,add
A car travels 66 kilometers every hour. How far does it go in 61 hours?,66,61,multiply
Multiply 52 and 93.,52,93,multiply
What do you get if you take 36 away from 24?,24,36,subtract
Calculate 90 multiplied by 50.,90,50,multiply
What is the sum of 12 and 97?,12,97,add
A car travels 55 kilometers every hour. How far does it go in 18 hours?,55,18,multiply
Give me the total of 30 and 13.,30,13,add
A car travels 95 kilometers every hour. How far does it go in 70 hours?,95,70,multiply
Subtract 78 from 37.,37,78,subtract
"11 birds were on a tree. If 54 flew away, how many are left?",11,54,subtract
A car travels 90 kilometers every hour. How far does it go in 33 hours?,90,33,multiply
13 kids each brought 46 books. How many books are there in all?,13,46,add
What is 31 minus 52?,31,52,subtract
What is the sum of 40 and 31?,40,31,add
Compute the result of 77 subtract 6.,77,6,subtract
What is 71 minus 13?,71,13,subtract
Calculate 29 plus 88.,29,88,add
"If you have 31 apples and get 36 more, how many apples do you have in total?",31,36,add
What is the sum of 91 and 9?,91,9,add
Calculate 31 multiplied by 36.,31,36,multiply
Compute the result of 73 subtract 32.,73,32,subtract
Calculate 96 multiplied by 61.,96,61,multiply
Compute the result of 41 subtract 56.,41,56,subtract
Add 95 and 36.,95,36,add
Find the difference between 9 and 86.,9,86,subtract
What is 36 minus 6?,36,6,subtract
Find the result of multiplying 60 with 17.,60,17,multiply
Calculate 70 multiplied by 60.,70,60,multiply
Add 52 and 47.,52,47,add
"If you have 94 apples and get 7 more, how many apples do you have in total?",94,7,add
"15 birds were on a tree. If 14 flew away, how many are left?",15,14,subtract
Find the difference between 47 and 6.,47,6,subtract
Multiply 7 and 72.,7,72,multiply
What is the product of 11 and 61?,11,61,multiply
Give me the total of 11 and 94.,11,94,add
Find the result of multiplying 48 with 22.,48,22,multiply
What do you get when you add 82 to 65?,82,65,add
Compute the result of 79 subtract 84.,79,84,subtract
What is 69 minus 43?,69,43,subtract
"If each of the 4 boxes contains 11 candies, how many candies are there in total?",4,11,multiply
What do you get when you add 68 to 1?,68,1,add
Find the result of multiplying 60 with 86.,60,86,multiply
Compute the result of 13 subtract 10.,13,10,subtract
What is the sum of 67 and 58?,67,58,add
"If you have 40 apples and get 52 more, how many apples do you have in total?",40,52,add
What do you get if you times 55 and 85?,55,85,multiply
Give me the total of 28 and 84.,28,84,add
"If each of the 78 boxes contains 96 candies, how many candies are there in total?",78,96,multiply
53 kids each brought 60 books. How many books are there in all?,53,60,add
Subtract 30 from 40.,40,30,subtract
Subtract 62 from 63.,63,62,subtract
What do you get if you take 65 away from 34?,34,65,subtract
What do you get if you times 71 and 1?,71,1,multiply
"If you have 35 apples and get 90 more, how many apples do you have in total?",35,90,add
Give me the total of 21 and 88.,21,88,add
Calculate 17 multiplied by 25.,17,25,multiply
Subtract 99 from 43.,43,99,subtract
What is the product of 41 and 70?,41,70,multiply
Calculate 60 plus 49.,60,49,add
Compute the result of 75 subtract 73.,75,73,subtract
Calculate 26 plus 20.,26,20,add
Add 38 and 56.,38,56,add
81 kids each brought 80 books. How many books are there in all?,81,80,add
"If you have 70 apples and get 97 more, how many apples do you have in total?",70,97,add
What do you get when you add 71 to 30?,71,30,add
"If you have 29 apples and get 18 more, how many apples do you have in total?",29,18,add
Subtract 20 from 63.,63,20,subtract
What is 75 minus 34?,75,34,subtract
Multiply 52 and 32.,52,32,multiply
Find the difference between 9 and 99.,9,99,subtract
Calculate 73 plus 92.,73,92,add
Calculate 37 multiplied by 27.,37,27,multiply
Calculate 29 multiplied by 35.,29,35,multiply
"If you have 13 apples and get 13 more, how many apples do you have in total?",13,13,add
Give me the total of 54 and 29.,54,29,add
"69 birds were on a tree. If 88 flew away, how many are left?",69,88,subtract
What is 33 minus 7?,33,7,subtract
Multiply 50 and 89.,50,89,multiply
Compute the result of 72 subtract 53.,72,53,subtract
Find the result of multiplying 97 with 57.,97,57,multiply
"If you have 15 apples and get 20 more, how many apples do you have in total?",15,20,add
Subtract 34 from 82.,82,34,subtract
Multiply 16 and 59.,16,59,multiply
"If each of the 40 boxes contains 74 candies, how many candies are there in total?",40,74,multiply
"If each of the 44 boxes contains 86 candies, how many candies are there in total?",44,86,multiply
What do you get if you times 10 and 92?,10,92,multiply
Calculate 39 multiplied by 97.,39,97,multiply
"If each of the 67 boxes contains 63 candies, how many candies are there in total?",67,63,multiply
Add 61 and 53.,61,53,add
A car travels 40 kilometers every hour. How far does it go in 29 hours?,40,29,multiply
Give me the total of 5 and 41.,5,41,add
"82 people entered a hall, and 55 left. How many are still inside?",82,55,subtract
What is the sum of 65 and 78?,65,78,add
Compute the result of 75 subtract 95.,75,95,subtract
Compute the result of 5 subtract 48.,5,48,subtract
Add 94 and 32.,94,32,add
Calculate 53 multiplied by 42.,53,42,multiply
Give me the total of 84 and 48.,84,48,add
"If you have 36 apples and get 59 more, how many apples do you have in total?",36,59,add
"If each of the 74 boxes contains 25 candies, how many candies are there in total?",74,25,multiply
What do you get if you times 28 and 59?,28,59,multiply
What is the product of 96 and 70?,96,70,multiply
"88 people entered a hall, and 82 left. How many are still inside?",88,82,subtract
What is the product of 60 and 24?,60,24,multiply
What is the product of 97 and 99?,97,99,multiply
What do you get if you take 47 away from 26?,26,47,subtract
A car travels 43 kilometers every hour. How far does it go in 12 hours?,43,12,multiply
"8 birds were on a tree. If 52 flew away, how many are left?",8,52,subtract
What is 84 minus 83?,84,83,subtract
What do you get when you add 82 to 22?,82,22,add
"9 people entered a hall, and 87 left. How many are still inside?",9,87,subtract
"4 birds were on a tree. If 23 flew away, how many are left?",4,23,subtract
What do you get when you add 84 to 90?,84,90,add
"95 birds were on a tree. If 95 flew away, how many are left?",95,95,subtract
What do you get if you take 22 away from 31?,31,22,subtract
What is the sum of 30 and 9?,30,9,add
A car travels 8 kilometers every hour. How far does it go in 27 hours?,8,27,multiply
What is the product of 84 and 89?,84,89,multiply
What do you get when you add 82 to 89?,82,89,add
Subtract 88 from 27.,27,88,subtract
"If you have 72 apples and get 26 more, how many apples do you have in total?",72,26,add
"If each of the 86 boxes contains 49 candies, how many candies are there in total?",86,49,multiply
Multiply 57 and 87.,57,87,multiply
Calculate 73 multiplied by 28.,73,28,multiply
What do you get if you take 18 away from 58?,58,18,subtract
What is the sum of 82 and 15?,82,15,add
Find the result of multiplying 6 with 45.,6,45,multiply
Give me the total of 6 and 94.,6,94,add
What is the product of 9 and 84?,9,84,multiply
"If you have 59 apples and get 1 more, how many apples do you have in total?",59,1,add
Add 35 and 9.,35,9,add
Give me the total of 69 and 16.,69,16,add
What do you get when you add 98 to 21?,98,21,add
Find the result of multiplying 39 with 88.,39,88,multiply
Give me the total of 77 and 9.,77,9,add
"If each of the 80 boxes contains 41 candies, how many candies are there in total?",80,41,multiply
Calculate 28 plus 98.,28,98,add
"If each of the 59 boxes contains 54 candies, how many candies are there in total?",59,54,multiply
"2 people entered a hall, and 12 left. How many are still inside?",2,12,subtract
What do you get when you add 85 to 61?,85,61,add
What do you get if you take 1 away from 49?,49,1,subtract
"55 birds were on a tree. If 90 flew away, how many are left?",55,90,subtract
Calculate 78 multiplied by 29.,78,29,multiply
Find the difference between 86 and 92.,86,92,subtract
What do you get when you add 15 to 88?,15,88,add
What do you get if you take 10 away from 32?,32,10,subtract
"If each of the 45 boxes contains 29 candies, how many candies are there in total?",45,29,multiply
Find the result of multiplying 85 with 82.,85,82,multiply
What do you get when you add 98 to 23?,98,23,add
Calculate 11 plus 71.,11,71,add
Find the result of multiplying 90 with 38.,90,38,multiply
Find the difference between 70 and 91.,70,91,subtract
Compute the result of 95 subtract 57.,95,57,subtract
Add 99 and 8.,99,8,add
Subtract 20 from 96.,96,20,subtract
Compute the result of 91 subtract 55.,91,55,subtract
"71 birds were on a tree. If 39 flew away, how many are left?",71,39,subtract
Calculate 45 plus 78.,45,78,add
What do you get if you take 15 away from 66?,66,15,subtract
Subtract 14 from 44.,44,14,subtract
Give me the total of 14 and 12.,14,12,add
Calculate 47 plus 21.,47,21,add
"86 people entered a hall, and 95 left. How many are still inside?",86,95,subtract
What is the product of 61 and 86?,61,86,multiply
Subtract 34 from 15.,15,34,subtract
Calculate 42 multiplied by 60.,42,60,multiply
What is the sum of 29 and 1?,29,1,add
Subtract 8 from 52.,52,8,subtract
"62 people entered a hall, and 65 left. How many are still inside?",62,65,subtract
Find the difference between 8 and 96.,8,96,subtract
What do you get if you times 16 and 93?,16,93,multiply
"2 people entered a hall, and 86 left. How many are still inside?",2,86,subtract
Find the difference between 74 and 25.,74,25,subtract
38 kids each brought 11 books. How many books are there in all?,38,11,add
What do you get if you times 62 and 1?,62,1,multiply
Compute the result of 89 subtract 20.,89,20,subtract
Find the result of multiplying 11 with 37.,11,37,multiply
Subtract 61 from 5.,5,61,subtract
What do you get when you add 9 to 98?,9,98,add
Find the result of multiplying 26 with 10.,26,10,multiply
Give me the total of 21 and 90.,21,90,add
76 kids each brought 36 books. How many books are there in all?,76,36,add
Find the result of multiplying 96 with 23.,96,23,multiply
What do you get when you add 83 to 10?,83,10,add
Find the difference between 39 and 59.,39,59,subtract
Calculate 69 multiplied by 4.,69,4,multiply
"If you have 14 apples and get 87 more, how many apples do you have in total?",14,87,add
What do you get when you add 22 to 34?,22,34,add
What do you get when you add 32 to 96?,32,96,add
What do you get when you add 63 to 28?,63,28,add
97 kids each brought 35 books. How many books are there in all?,97,35,add
What do you get if you times 31 and 35?,31,35,multiply
"If each of the 75 boxes contains 78 candies, how many candies are there in total?",75,78,multiply
85 kids each brought 30 books. How many books are there in all?,85,30,add
What is the sum of 31 and 73?,31,73,add
Subtract 44 from 92.,92,44,subtract
What do you get if you take 34 away from 31?,31,34,subtract
A car travels 36 kilometers every hour. How far does it go in 97 hours?,36,97,multiply
Find the difference between 71 and 20.,71,20,subtract
Multiply 89 and 81.,89,81,multiply
15 kids each brought 47 books. How many books are there in all?,15,47,add
Calculate 98 multiplied by 74.,98,74,multiply
What do you get if you take 77 away from 14?,14,77,subtract
What do you get when you add 68 to 33?,68,33,add
"If each of the 97 boxes contains 31 candies, how many candies are there in total?",97,31,multiply
What do you get when you add 75 to 55?,75,55,add
What is the product of 75 and 90?,75,90,multiply
"1 people entered a hall, and 67 left. How many are still inside?",1,67,subtract
Multiply 20 and 31.,20,31,multiply
Calculate 90 multiplied by 67.,90,67,multiply
A car travels 14 kilometers every hour. How far does it go in 90 hours?,14,90,multiply
"If you have 89 apples and get 26 more, how many apples do you have in total?",89,26,add
Give me the total of 18 and 66.,18,66,add
Compute the result of 45 subtract 83.,45,83,subtract
"If you have 46 apples and get 27 more, how many apples do you have in total?",46,27,add
What is the sum of 83 and 44?,83,44,add
Calculate 14 plus 81.,14,81,add
Multiply 34 and 97.,34,97,multiply
What is the sum of 42 and 63?,42,63,add
"72 birds were on a tree. If 85 flew away, how many are left?",72,85,subtract
Find the difference between 26 and 59.,26,59,subtract
What is the product of 14 and 75?,14,75,multiply
What is the sum of 32 and 29?,32,29,add
Find the difference between 28 and 65.,28,65,subtract
"45 people entered a hall, and 94 left. How many are still inside?",45,94,subtract
What do you get if you times 15 and 21?,15,21,multiply
What is the sum of 91 and 81?,91,81,add
"17 birds were on a tree. If 86 flew away, how many are left?",17,86,subtract
Calculate 63 multiplied by 4.,63,4,multiply
What do you get if you times 34 and 49?,34,49,multiply
Add 74 and 61.,74,61,add
Find the difference between 14 and 18.,14,18,subtract
Find the difference between 86 and 14.,86,14,subtract
"If each of the 49 boxes contains 51 candies, how many candies are there in total?",49,51,multiply
What do you get when you add 93 to 34?,93,34,add
What do you get if you take 14 away from 90?,90,14,subtract
Compute the result of 25 subtract 25.,25,25,subtract
"If you have 2 apples and get 88 more, how many apples do you have in total?",2,88,add
Add 99 and 17.,99,17,add
Add 47 and 74.,47,74,add
What do you get when you add 70 to 12?,70,12,add
"If each of the 65 boxes contains 40 candies, how many candies are there in total?",65,40,multiply
Find the difference between 34 and 59.,34,59,subtract
Multiply 97 and 4.,97,4,multiply
Find the difference between 52 and 43.,52,43,subtract
Find the result of multiplying 26 with 3.,26,3,multiply
Compute the result of 8 subtract 7.,8,7,subtract
Subtract 35 from 32.,32,35,subtract
"If each of the 54 boxes contains 69 candies, how many candies are there in total?",54,69,multiply
A car travels 16 kilometers every hour. How far does it go in 73 hours?,16,73,multiply
Calculate 73 multiplied by 39.,73,39,multiply
What is 68 minus 21?,68,21,subtract
Give me the total of 51 and 83.,51,83,add
Give me the total of 56 and 46.,56,46,add
What is the sum of 55 and 5?,55,5,add
What is 17 minus 45?,17,45,subtract
"21 people entered a hall, and 57 left. How many are still inside?",21,57,subtract
"If each of the 9 boxes contains 65 candies, how many candies are there in total?",9,65,multiply
Subtract 34 from 41.,41,34,subtract
Subtract 85 from 4.,4,85,subtract
"84 people entered a hall, and 70 left. How many are still inside?",84,70,subtract
What is the product of 91 and 28?,91,28,multiply
What do you get when you add 17 to 93?,17,93,add
Find the difference between 17 and 6.,17,6,subtract
A car travels 54 kilometers every hour. How far does it go in 50 hours?,54,50,multiply
Add 44 and 36.,44,36,add
What do you get if you take 23 away from 21?,21,23,subtract
What do you get if you take 91 away from 6?,6,91,subtract
Calculate 93 multiplied by 65.,93,65,multiply
"66 people entered a hall, and 11 left. How many are still inside?",66,11,subtract
Multiply 55 and 29.,55,29,multiply
Find the difference between 32 and 48.,32,48,subtract
Add 19 and 34.,19,34,add
Compute the result of 24 subtract 9.,24,9,subtract
What do you get if you take 19 away from 71?,71,19,subtract
What is 97 minus 10?,97,10,subtract
What is the product of 79 and 99?,79,99,multiply
Multiply 71 and 58.,71,58,multiply
Multiply 18 and 20.,18,20,multiply
A car travels 54 kilometers every hour. How far does it go in 33 hours?,54,33,multiply
Compute the result of 59 subtract 80.,59,80,subtract
"If each of the 76 boxes contains 73 candies, how many candies are there in total?",76,73,multiply
What do you get when you add 43 to 10?,43,10,add
Calculate 6 multiplied by 32.,6,32,multiply
Add 78 and 55.,78,55,add
What do you get if you times 72 and 77?,72,77,multiply
"52 people entered a hall, and 87 left. How many are still inside?",52,87,subtract
What is the product of 26 and 19?,26,19,multiply
Give me the total of 49 and 77.,49,77,add
What do you get if you times 54 and 53?,54,53,multiply
"If each of the 95 boxes contains 22 candies, how many candies are there in total?",95,22,multiply
Add 12 and 28.,12,28,add
"43 people entered a hall, and 53 left. How many are still inside?",43,53,subtract
